user,churn,age,credit_score,housing,payment_type,is_referred,total_deposits,total_withdrawals,total_purchases,total_partner_purchases,credit_card_applications,waiting_for_loan,cancelled_loan,received_loan,rejected_loan,app_downloaded,web_user,app_web_user,ios_user,android_user,registered_phones,rewards_earned,reward_rate,age_group,credit_score_band,activity_score,activity_segment,rewards_segment,loan_status,platform_segment,risk_score,risk_segment,recommended_action
21,0,32.0,585.0,R,Bi-Weekly,1,1,0,1,88,35,0,0,0,0,1,1,1,1,1,3,34.0,1.13,25-34,500-599,125,High Activity,Low Rewards,No Loan Interaction,App + Web,10,Low Risk,Maintain engagement with lifecycle messaging
25,1,27.0,,na,Weekly,1,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,12.0,0.4,25-34,Missing,1,Very Low Activity,Low Rewards,No Loan Interaction,App + Web,45,Medium Risk,Maintain engagement with lifecycle messaging
28,1,42.0,533.0,na,Bi-Weekly,0,0,0,0,15,0,0,0,0,0,1,0,0,1,0,0,13.0,0.43,35-44,500-599,15,Low Activity,Low Rewards,No Loan Interaction,App Only,40,Medium Risk,Maintain engagement with lifecycle messaging
31,0,25.0,532.0,R,Bi-Weekly,0,1,1,1,58,18,0,0,0,0,1,1,1,0,1,0,47.0,1.5699999999999998,25-34,500-599,78,High Activity,Low Rewards,No Loan Interaction,App + Web,20,Low Risk,Maintain engagement with lifecycle messaging
34,1,54.0,557.0,R,na,1,60,13,43,62,51,0,0,0,0,1,1,1,1,0,0,40.0,1.33,45-54,500-599,216,High Activity,Low Rewards,No Loan Interaction,App + Web,10,Low Risk,Maintain engagement with lifecycle messaging
36,1,38.0,590.0,na,na,1,2,0,2,39,6,0,0,0,0,1,1,1,0,1,0,26.0,0.87,35-44,500-599,49,Moderate Activity,Low Rewards,No Loan Interaction,App + Web,10,Low Risk,Maintain engagement with lifecycle messaging
37,1,31.0,,R,Bi-Weekly,0,0,0,0,0,5,0,0,0,0,1,1,1,1,0,0,35.0,1.17,25-34,Missing,5,Low Activity,Low Rewards,No Loan Interaction,App + Web,40,Medium Risk,Maintain engagement with lifecycle messaging
38,0,24.0,494.0,na,Weekly,0,0,0,0,27,1,0,0,0,0,1,0,0,0,1,0,25.0,0.83,18-24,Under 500,28,Moderate Activity,Low Rewards,No Loan Interaction,App Only,20,Low Risk,Maintain engagement with lifecycle messaging
41,1,44.0,550.0,na,na,0,0,0,0,0,12,0,0,0,0,1,1,1,0,1,0,25.0,1.47,35-44,500-599,12,Low Activity,Low Rewards,No Loan Interaction,App + Web,40,Medium Risk,Maintain engagement with lifecycle messaging
44,0,30.0,562.0,O,Bi-Weekly,1,17,0,17,133,9,0,0,0,0,1,1,1,0,1,0,49.0,1.63,25-34,500-599,176,High Activity,Low Rewards,No Loan Interaction,App + Web,10,Low Risk,Maintain engagement with lifecycle messaging
47,1,41.0,609.0,R,Monthly,1,0,0,0,0,8,0,0,0,1,1,0,0,0,1,2,26.0,0.87,35-44,600-699,8,Low Activity,Low Rewards,Rejected Loan,App Only,55,Medium Risk,Loan journey follow-up and clearer next steps
49,1,36.0,501.0,R,Semi-Monthly,0,0,0,0,0,35,0,0,0,0,1,1,1,1,0,0,56.0,1.87,35-44,500-599,35,Moderate Activity,High Rewards,No Loan Interaction,App + Web,10,Low Risk,Maintain engagement with lifecycle messaging
51,0,49.5,481.0,na,Bi-Weekly,0,20,0,20,28,24,0,0,0,0,1,0,0,1,0,0,20.0,0.37,45-54,Under 500,92,High Activity,Low Rewards,No Loan Interaction,App Only,20,Low Risk,Maintain engagement with lifecycle messaging
52,0,22.0,655.0,R,Semi-Monthly,1,12,0,11,62,23,0,0,0,0,1,0,0,0,1,0,65.0,2.17,18-24,600-699,108,High Activity,High Rewards,No Loan Interaction,App Only,0,Low Risk,Maintain engagement with lifecycle messaging
56,0,28.0,364.0,O,na,0,0,0,0,89,1,0,0,0,0,1,1,1,0,1,0,60.0,2.0,25-34,Under 500,90,High Activity,High Rewards,No Loan Interaction,App + Web,10,Low Risk,Maintain engagement with lifecycle messaging
60,0,40.0,536.0,na,Bi-Weekly,1,0,0,0,12,3,0,0,0,0,1,1,1,1,0,0,29.0,0.97,35-44,500-599,15,Low Activity,Low Rewards,No Loan Interaction,App + Web,30,Medium Risk,Maintain engagement with lifecycle messaging
61,1,25.0,525.0,R,Weekly,0,0,0,0,0,4,0,0,0,0,1,1,1,1,0,0,22.0,0.73,25-34,500-599,4,Low Activity,Low Rewards,No Loan Interaction,App + Web,40,Medium Risk,Maintain engagement with lifecycle messaging
62,0,31.0,569.0,O,Weekly,0,0,0,0,0,27,0,0,0,0,1,1,1,0,1,0,75.0,2.5,25-34,500-599,27,Moderate Activity,High Rewards,No Loan Interaction,App + Web,10,Low Risk,Maintain engagement with lifecycle messaging
63,0,65.0,,R,na,0,1,0,1,22,1,0,0,0,0,1,1,1,1,0,0,13.0,0.43,55+,Missing,25,Moderate Activity,Low Rewards,No Loan Interaction,App + Web,20,Low Risk,Maintain engagement with lifecycle messaging
64,1,28.0,572.0,R,Bi-Weekly,0,0,0,0,0,3,0,0,0,0,1,1,1,0,1,0,44.0,1.47,25-34,500-599,3,Very Low Activity,Low Rewards,No Loan Interaction,App + Web,55,Medium Risk,Maintain engagement with lifecycle messaging
68,0,52.0,513.0,R,Bi-Weekly,1,11,2,10,160,34,0,0,0,0,1,1,1,0,1,2,63.0,2.1,45-54,500-599,215,High Activity,High Rewards,No Loan Interaction,App + Web,0,Low Risk,Maintain engagement with lifecycle messaging
71,0,45.0,,na,Bi-Weekly,0,0,0,0,48,3,0,0,0,0,1,1,1,1,0,0,32.0,1.0699999999999998,45-54,Missing,51,Moderate Activity,Low Rewards,No Loan Interaction,App + Web,20,Low Risk,Maintain engagement with lifecycle messaging
73,1,41.0,473.0,R,Bi-Weekly,1,52,2,50,92,23,0,0,0,0,1,1,1,0,1,2,65.0,2.17,35-44,Under 500,217,High Activity,High Rewards,No Loan Interaction,App + Web,0,Low Risk,Maintain engagement with lifecycle messaging
78,0,44.0,555.0,na,Bi-Weekly,1,2,1,1,61,12,0,0,0,0,1,0,0,1,0,0,51.0,1.7,35-44,500-599,76,High Activity,High Rewards,No Loan Interaction,App Only,0,Low Risk,Maintain engagement with lifecycle messaging
82,0,38.0,649.0,R,Semi-Monthly,0,48,0,48,252,33,0,0,0,0,1,0,0,0,1,0,123.0,1.37,35-44,600-699,381,High Activity,High Rewards,No Loan Interaction,App Only,10,Low Risk,Maintain engagement with lifecycle messaging
86,1,28.0,528.0,R,Monthly,1,0,0,0,0,5,0,0,0,0,1,1,1,1,0,0,12.0,0.4,25-34,500-599,5,Low Activity,Low Rewards,No Loan Interaction,App + Web,30,Medium Risk,Maintain engagement with lifecycle messaging
88,0,21.0,526.0,R,Bi-Weekly,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,5.0,0.1699999999999999,18-24,500-599,0,Very Low Activity,Low Rewards,No Loan Interaction,App Only,45,Medium Risk,Maintain engagement with lifecycle messaging
91,1,29.0,,R,Bi-Weekly,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,40.0,1.33,25-34,Missing,2,Very Low Activity,Low Rewards,No Loan Interaction,App Only,55,Medium Risk,Maintain engagement with lifecycle messaging
93,1,28.0,596.0,R,Bi-Weekly,0,0,0,0,4,3,0,0,0,0,1,1,1,1,1,2,22.0,0.73,25-34,500-599,7,Low Activity,Low Rewards,No Loan Interaction,App + Web,40,Medium Risk,Maintain engagement with lifecycle messaging
95,0,35.0,620.0,O,Bi-Weekly,1,29,3,28,34,12,0,0,0,0,1,1,1,0,1,0,26.0,0.87,35-44,600-699,103,High Activity,Low Rewards,No Loan Interaction,App + Web,10,Low Risk,Maintain engagement with lifecycle messaging
96,0,28.0,454.0,O,Monthly,0,7,0,7,30,4,0,0,0,0,1,0,0,1,0,0,21.0,0.7,25-34,Under 500,48,Moderate Activity,Low Rewards,No Loan Interaction,App Only,20,Low Risk,Maintain engagement with lifecycle messaging
98,0,18.0,,na,Bi-Weekly,1,0,0,0,9,14,0,0,0,0,1,0,0,0,1,2,61.0,2.03,18-24,Missing,23,Moderate Activity,High Rewards,No Loan Interaction,App Only,0,Low Risk,Maintain engagement with lifecycle messaging
100,1,25.0,,O,Bi-Weekly,1,3,2,3,25,2,0,0,0,0,1,1,1,1,0,0,6.0,0.2,25-34,Missing,33,Moderate Activity,Low Rewards,No Loan Interaction,App + Web,10,Low Risk,Maintain engagement with lifecycle messaging
103,1,29.0,,na,Bi-Weekly,0,0,0,0,9,0,0,0,0,0,1,1,1,0,1,0,6.0,0.2,25-34,Missing,9,Low Activity,Low Rewards,No Loan Interaction,App + Web,40,Medium Risk,Maintain engagement with lifecycle messaging
109,0,29.0,481.0,R,Bi-Weekly,0,0,0,0,0,17,0,0,0,0,1,1,1,0,1,0,67.0,2.23,25-34,Under 500,17,Low Activity,High Rewards,No Loan Interaction,App + Web,30,Medium Risk,Maintain engagement with lifecycle messaging
111,1,51.0,538.0,R,Weekly,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,2.0,0.0699999999999999,45-54,500-599,1,Very Low Activity,Low Rewards,No Loan Interaction,App Only,45,Medium Risk,Maintain engagement with lifecycle messaging
112,0,35.0,647.0,R,Weekly,1,13,2,13,113,30,0,0,0,0,1,1,1,1,0,0,68.0,2.27,35-44,600-699,169,High Activity,High Rewards,No Loan Interaction,App + Web,0,Low Risk,Maintain engagement with lifecycle messaging
113,0,28.0,506.0,R,Weekly,1,0,0,0,34,7,0,0,0,0,1,0,0,0,1,0,52.0,1.73,25-34,500-599,41,Moderate Activity,High Rewards,No Loan Interaction,App Only,0,Low Risk,Maintain engagement with lifecycle messaging
115,0,26.0,490.0,na,Semi-Monthly,0,2,2,2,74,28,0,0,0,0,1,1,1,0,1,0,84.0,2.8,25-34,Under 500,106,High Activity,High Rewards,No Loan Interaction,App + Web,10,Low Risk,Maintain engagement with lifecycle messaging
119,0,24.0,613.0,R,Monthly,0,0,0,0,21,0,0,0,0,0,1,0,0,0,1,0,9.0,0.41,18-24,600-699,21,Moderate Activity,Low Rewards,No Loan Interaction,App Only,20,Low Risk,Maintain engagement with lifecycle messaging
120,0,31.0,530.0,O,Weekly,0,0,0,0,149,4,0,0,0,0,1,0,0,0,1,0,60.0,2.0,25-34,500-599,153,High Activity,High Rewards,No Loan Interaction,App Only,10,Low Risk,Maintain engagement with lifecycle messaging
121,0,26.5,537.0,R,Bi-Weekly,1,70,2,68,178,30,0,0,0,0,1,1,1,1,1,2,118.0,1.97,25-34,500-599,346,High Activity,High Rewards,No Loan Interaction,App + Web,0,Low Risk,Maintain engagement with lifecycle messaging
127,0,22.0,,na,Bi-Weekly,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.0,0.0,18-24,Missing,0,Very Low Activity,No Rewards,No Loan Interaction,App Only,65,High Risk,Activation campaign: prompt first deposit or purchase
130,1,51.0,461.0,O,Bi-Weekly,0,0,0,0,0,21,0,0,0,0,1,1,1,1,0,0,60.0,2.0,45-54,Under 500,21,Moderate Activity,High Rewards,No Loan Interaction,App + Web,10,Low Risk,Maintain engagement with lifecycle messaging
131,0,32.0,413.0,R,Bi-Weekly,1,10,0,10,0,9,0,0,0,0,1,0,0,1,0,0,49.0,1.63,25-34,Under 500,29,Moderate Activity,Low Rewards,No Loan Interaction,App Only,10,Low Risk,Maintain engagement with lifecycle messaging
132,0,25.0,588.0,R,Bi-Weekly,1,2,0,2,99,24,0,0,0,0,1,1,1,1,0,0,49.0,1.63,25-34,500-599,127,High Activity,Low Rewards,No Loan Interaction,App + Web,10,Low Risk,Maintain engagement with lifecycle messaging
137,1,35.0,540.0,R,Weekly,1,1,0,1,159,1,0,0,1,0,1,1,1,1,0,0,61.0,2.03,35-44,500-599,162,High Activity,High Rewards,Received Loan,App + Web,0,Low Risk,Maintain engagement with lifecycle messaging
138,0,33.0,581.0,R,Bi-Weekly,0,0,0,0,15,8,0,0,0,0,1,1,1,0,1,0,64.0,2.13,25-34,500-599,23,Moderate Activity,High Rewards,No Loan Interaction,App + Web,10,Low Risk,Maintain engagement with lifecycle messaging
140,0,43.0,587.0,R,Bi-Weekly,0,11,1,10,32,5,0,0,0,0,1,1,1,1,0,0,15.0,0.8800000000000002,35-44,500-599,58,Moderate Activity,Low Rewards,No Loan Interaction,App + Web,20,Low Risk,Maintain engagement with lifecycle messaging
141,1,32.0,532.0,R,Weekly,1,9,1,8,24,10,0,0,0,0,1,1,1,1,0,0,11.0,0.79,25-34,500-599,51,Moderate Activity,Low Rewards,No Loan Interaction,App + Web,10,Low Risk,Maintain engagement with lifecycle messaging
146,1,28.0,535.0,R,Semi-Monthly,0,0,0,0,0,2,0,1,0,0,1,1,1,1,0,0,14.0,0.47,25-34,500-599,2,Very Low Activity,Low Rewards,Cancelled Loan,App + Web,70,High Risk,Activation campaign: prompt first deposit or purchase
147,0,43.0,,na,Weekly,1,0,0,0,28,2,0,0,0,0,1,1,1,0,1,0,54.0,1.8,35-44,Missing,30,Moderate Activity,High Rewards,No Loan Interaction,App + Web,0,Low Risk,Maintain engagement with lifecycle messaging
151,0,42.0,552.0,na,Weekly,1,2,0,2,71,12,0,0,0,0,1,1,1,1,0,0,46.0,1.53,35-44,500-599,87,High Activity,Low Rewards,No Loan Interaction,App + Web,10,Low Risk,Maintain engagement with lifecycle messaging
154,0,28.0,,R,Bi-Weekly,0,0,0,0,0,27,0,0,0,0,1,1,1,1,0,0,68.0,2.27,25-34,Missing,27,Moderate Activity,High Rewards,No Loan Interaction,App + Web,10,Low Risk,Maintain engagement with lifecycle messaging
155,0,27.0,,na,Monthly,0,0,0,0,81,6,0,0,0,0,1,1,1,0,1,0,46.0,1.53,25-34,Missing,87,High Activity,Low Rewards,No Loan Interaction,App + Web,20,Low Risk,Maintain engagement with lifecycle messaging
160,1,34.0,,na,Bi-Weekly,1,0,0,0,41,8,0,0,0,0,1,1,1,1,0,0,24.0,0.8,25-34,Missing,49,Moderate Activity,Low Rewards,No Loan Interaction,App + Web,10,Low Risk,Maintain engagement with lifecycle messaging
161,0,27.0,687.0,R,Bi-Weekly,0,43,1,43,71,8,0,0,0,0,1,1,1,0,1,2,67.0,2.23,25-34,600-699,165,High Activity,High Rewards,No Loan Interaction,App + Web,10,Low Risk,Maintain engagement with lifecycle messaging
168,0,30.0,538.0,R,Bi-Weekly,0,0,0,0,67,36,0,0,0,0,1,1,1,0,1,0,21.0,0.7,25-34,500-599,103,High Activity,Low Rewards,No Loan Interaction,App + Web,20,Low Risk,Maintain engagement with lifecycle messaging
169,0,50.0,490.5,O,na,0,0,0,0,0,10,0,0,0,0,1,1,1,1,0,0,122.0,2.03,45-54,Under 500,10,Low Activity,High Rewards,No Loan Interaction,App + Web,30,Medium Risk,Maintain engagement with lifecycle messaging
170,0,34.0,472.0,O,Bi-Weekly,1,55,1,55,103,58,0,0,0,0,1,1,1,0,1,4,65.0,2.17,25-34,Under 500,271,High Activity,High Rewards,No Loan Interaction,App + Web,0,Low Risk,Maintain engagement with lifecycle messaging
183,0,42.0,597.0,na,Bi-Weekly,0,0,0,0,59,9,0,0,0,0,1,0,0,1,0,0,44.0,1.47,35-44,500-599,68,High Activity,Low Rewards,No Loan Interaction,App Only,20,Low Risk,Maintain engagement with lifecycle messaging
184,0,32.0,,R,Bi-Weekly,1,0,0,0,19,8,0,0,0,0,1,0,0,1,0,2,9.0,0.8199999999999998,25-34,Missing,27,Moderate Activity,Low Rewards,No Loan Interaction,App Only,10,Low Risk,Maintain engagement with lifecycle messaging
185,1,31.0,605.0,R,na,0,0,0,0,44,4,0,0,0,0,1,0,0,0,1,0,24.0,0.8,25-34,600-699,48,Moderate Activity,Low Rewards,No Loan Interaction,App Only,20,Low Risk,Maintain engagement with lifecycle messaging
186,1,33.0,,R,Bi-Weekly,0,1,0,1,133,2,0,0,0,0,1,1,1,0,1,0,48.0,1.6,25-34,Missing,137,High Activity,Low Rewards,No Loan Interaction,App + Web,20,Low Risk,Maintain engagement with lifecycle messaging
187,0,44.0,570.0,O,Bi-Weekly,1,3,1,3,60,19,0,0,0,0,1,1,1,1,0,0,34.0,1.13,35-44,500-599,85,High Activity,Low Rewards,No Loan Interaction,App + Web,10,Low Risk,Maintain engagement with lifecycle messaging
189,1,19.0,554.0,na,na,0,0,0,0,26,0,0,0,0,0,1,0,0,0,1,0,15.0,0.5,18-24,500-599,26,Moderate Activity,Low Rewards,No Loan Interaction,App Only,20,Low Risk,Maintain engagement with lifecycle messaging
197,1,40.0,597.0,R,Bi-Weekly,0,0,0,0,0,34,0,0,0,0,1,1,1,1,0,0,67.0,2.23,35-44,500-599,34,Moderate Activity,High Rewards,No Loan Interaction,App + Web,10,Low Risk,Maintain engagement with lifecycle messaging
200,1,33.0,545.0,R,na,0,20,0,20,47,18,0,0,0,0,1,1,1,0,1,0,33.0,1.1,25-34,500-599,105,High Activity,Low Rewards,No Loan Interaction,App + Web,20,Low Risk,Maintain engagement with lifecycle messaging
201,0,24.5,,na,Weekly,1,0,0,0,14,0,0,0,0,0,1,1,1,0,1,2,8.0,0.13,25-34,Missing,14,Low Activity,Low Rewards,No Loan Interaction,App + Web,30,Medium Risk,Maintain engagement with lifecycle messaging
206,0,38.0,638.0,O,Bi-Weekly,0,3,0,3,55,18,0,1,0,0,1,1,1,0,1,0,65.0,2.17,35-44,600-699,79,High Activity,High Rewards,Cancelled Loan,App + Web,25,Low Risk,Loan journey follow-up and clearer next steps
209,0,41.0,539.0,R,Weekly,0,0,0,0,0,30,0,0,0,0,1,1,1,0,1,3,58.0,1.93,35-44,500-599,30,Moderate Activity,High Rewards,No Loan Interaction,App + Web,10,Low Risk,Maintain engagement with lifecycle messaging
213,0,24.0,,R,na,0,0,0,0,0,6,0,0,0,0,1,1,1,0,1,0,75.0,2.5,18-24,Missing,6,Low Activity,High Rewards,No Loan Interaction,App + Web,30,Medium Risk,Maintain engagement with lifecycle messaging
216,0,40.0,531.0,na,Bi-Weekly,0,0,0,0,0,12,0,0,0,0,1,0,0,1,0,0,48.0,1.6,35-44,500-599,12,Low Activity,Low Rewards,No Loan Interaction,App Only,40,Medium Risk,Maintain engagement with lifecycle messaging
219,1,40.0,636.0,R,Bi-Weekly,0,12,1,11,82,24,0,0,0,0,1,1,1,1,0,0,61.0,2.03,35-44,600-699,129,High Activity,High Rewards,No Loan Interaction,App + Web,10,Low Risk,Maintain engagement with lifecycle messaging
220,0,24.0,571.0,R,Weekly,0,0,0,0,0,9,0,0,0,0,1,0,0,0,1,0,51.0,1.7,18-24,500-599,9,Low Activity,High Rewards,No Loan Interaction,App Only,30,Medium Risk,Maintain engagement with lifecycle messaging
221,0,34.0,571.0,R,Bi-Weekly,0,7,0,7,96,5,0,0,0,0,1,1,1,0,1,0,35.0,1.17,25-34,500-599,115,High Activity,Low Rewards,No Loan Interaction,App + Web,20,Low Risk,Maintain engagement with lifecycle messaging
231,1,34.0,566.0,na,Weekly,0,0,0,0,44,1,0,0,0,0,1,0,0,1,0,0,13.0,0.43,25-34,500-599,45,Moderate Activity,Low Rewards,No Loan Interaction,App Only,20,Low Risk,Maintain engagement with lifecycle messaging
233,1,48.0,528.0,R,Bi-Weekly,0,38,0,37,42,27,0,0,0,0,1,1,1,0,1,0,43.0,1.4300000000000002,45-54,500-599,144,High Activity,Low Rewards,No Loan Interaction,App + Web,20,Low Risk,Maintain engagement with lifecycle messaging
238,0,22.0,,R,Monthly,1,0,0,0,2,0,0,0,0,0,1,1,1,0,1,2,2.0,0.0699999999999999,18-24,Missing,2,Very Low Activity,Low Rewards,No Loan Interaction,App + Web,45,Medium Risk,Maintain engagement with lifecycle messaging
241,0,25.0,587.0,na,Weekly,0,0,0,0,0,11,0,0,0,0,1,0,0,0,1,0,58.0,1.93,25-34,500-599,11,Low Activity,High Rewards,No Loan Interaction,App Only,30,Medium Risk,Maintain engagement with lifecycle messaging
242,1,22.0,705.0,na,Bi-Weekly,1,1,0,1,30,8,0,0,0,0,1,0,0,0,1,0,26.0,0.87,18-24,700+,40,Moderate Activity,Low Rewards,No Loan Interaction,App Only,10,Low Risk,Maintain engagement with lifecycle messaging
243,1,19.0,464.0,na,Weekly,1,2,0,2,24,3,0,0,0,0,1,0,0,1,0,0,19.0,1.46,18-24,Under 500,31,Moderate Activity,Low Rewards,No Loan Interaction,App Only,10,Low Risk,Maintain engagement with lifecycle messaging
244,1,32.0,499.0,na,na,0,0,0,0,0,5,0,0,0,0,1,1,1,0,1,0,2.0,0.0699999999999999,25-34,Under 500,5,Low Activity,Low Rewards,No Loan Interaction,App + Web,40,Medium Risk,Maintain engagement with lifecycle messaging
251,1,46.0,361.0,na,Weekly,0,0,0,0,3,0,0,0,0,0,1,1,1,1,0,0,1.0,0.0,45-54,Under 500,3,Very Low Activity,Low Rewards,No Loan Interaction,App + Web,55,Medium Risk,Maintain engagement with lifecycle messaging
252,1,23.0,567.0,na,Weekly,0,0,0,0,0,13,0,0,0,0,1,1,1,1,1,2,50.0,1.67,18-24,500-599,13,Low Activity,Low Rewards,No Loan Interaction,App + Web,40,Medium Risk,Maintain engagement with lifecycle messaging
253,1,27.0,597.0,R,Monthly,0,1,0,1,57,2,0,0,0,0,1,0,0,1,0,0,26.0,0.87,25-34,500-599,61,Moderate Activity,Low Rewards,No Loan Interaction,App Only,20,Low Risk,Maintain engagement with lifecycle messaging
259,1,23.0,452.0,na,Bi-Weekly,0,0,0,0,0,19,0,0,0,0,1,1,1,0,1,0,51.0,1.7,18-24,Under 500,19,Moderate Activity,High Rewards,No Loan Interaction,App + Web,10,Low Risk,Maintain engagement with lifecycle messaging
261,1,22.0,,na,Bi-Weekly,0,0,0,0,0,8,0,0,0,0,1,0,0,0,1,0,40.0,1.33,18-24,Missing,8,Low Activity,Low Rewards,No Loan Interaction,App Only,40,Medium Risk,Maintain engagement with lifecycle messaging
262,0,45.0,544.0,R,Monthly,1,0,0,0,429,48,0,0,0,0,1,1,1,1,0,0,162.0,1.8,45-54,500-599,477,High Activity,High Rewards,No Loan Interaction,App + Web,0,Low Risk,Maintain engagement with lifecycle messaging
266,1,23.0,606.0,R,Bi-Weekly,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,17.0,0.5700000000000001,18-24,600-699,2,Very Low Activity,Low Rewards,No Loan Interaction,App Only,55,Medium Risk,Maintain engagement with lifecycle messaging
267,0,34.0,582.0,na,na,0,0,0,0,5,2,0,0,0,0,1,1,1,1,0,0,3.0,0.0,25-34,500-599,7,Low Activity,Low Rewards,No Loan Interaction,App + Web,40,Medium Risk,Maintain engagement with lifecycle messaging
269,1,26.0,511.0,R,na,0,21,0,21,37,10,0,0,0,0,1,1,1,1,0,0,25.0,0.83,25-34,500-599,89,High Activity,Low Rewards,No Loan Interaction,App + Web,20,Low Risk,Maintain engagement with lifecycle messaging
270,1,32.0,550.0,na,Weekly,1,0,0,0,24,4,0,0,0,0,1,1,1,1,0,2,22.0,0.73,25-34,500-599,28,Moderate Activity,Low Rewards,No Loan Interaction,App + Web,10,Low Risk,Maintain engagement with lifecycle messaging
274,0,23.0,661.0,R,Bi-Weekly,0,0,0,0,0,11,0,0,0,0,1,1,1,1,0,2,50.0,1.67,18-24,600-699,11,Low Activity,Low Rewards,No Loan Interaction,App + Web,40,Medium Risk,Maintain engagement with lifecycle messaging
282,1,27.0,,O,Bi-Weekly,0,0,0,0,0,2,0,0,0,0,1,1,1,0,1,0,67.0,2.23,25-34,Missing,2,Very Low Activity,High Rewards,No Loan Interaction,App + Web,45,Medium Risk,Maintain engagement with lifecycle messaging
285,0,28.0,,R,Bi-Weekly,0,0,0,0,63,0,0,0,0,0,1,0,0,0,1,2,43.0,1.4300000000000002,25-34,Missing,63,Moderate Activity,Low Rewards,No Loan Interaction,App Only,20,Low Risk,Maintain engagement with lifecycle messaging
286,0,31.0,527.0,R,na,1,3,0,3,100,7,0,0,0,0,1,0,0,1,0,0,57.0,1.9,25-34,500-599,113,High Activity,High Rewards,No Loan Interaction,App Only,0,Low Risk,Maintain engagement with lifecycle messaging
287,0,25.0,538.0,R,Weekly,0,1,0,1,111,16,0,0,0,0,1,0,0,0,1,0,33.0,1.1,25-34,500-599,129,High Activity,Low Rewards,No Loan Interaction,App Only,20,Low Risk,Maintain engagement with lifecycle messaging
293,0,23.0,561.0,na,na,0,0,0,0,77,26,0,0,0,0,1,0,0,0,1,0,34.0,1.13,18-24,500-599,103,High Activity,Low Rewards,No Loan Interaction,App Only,20,Low Risk,Maintain engagement with lifecycle messaging
294,1,26.0,,na,Weekly,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1.0,0.03,25-34,Missing,2,Very Low Activity,Low Rewards,No Loan Interaction,App Only,55,Medium Risk,Maintain engagement with lifecycle messaging
